Image Path,Description
downloaded_images_W07B/2024-11-03 08:02:33.957443558+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with buildings on both sides and there are street lamps on the left and right sides of the road. The sky is dark and the street is lit up with streetlights. In the center of the image, there is a zebra crossing with white lines and a red crosswalk. There are several cars parked on the street and a few people walking on the sidewalk. The image appears to be taken from a high angle, looking down on the intersection. LABELS: The street, street lamps, The sky, a zebra crossing, several cars, A black car parked on a street at night., A black SUV parked on the side of a street., street light, wheel, car"
downloaded_images_W07B/2024-11-19 12:13:08.139018757+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides and there are several cars parked on the left side of the road. The sky is dark and the street is wet, indicating that it has recently rained. In the center of the image, there is a zebra crossing with white lines and markings. A person is walking on the sidewalk and appears to be crossing the street. The image is taken from a high angle, looking down on the street and the buildings. LABELS: several cars, The sky, a zebra crossing, A person, A blue car with its lights on the side of a road at night., A person walking on a sidewalk with a black bag on their back., A white car parked on the street at night with its headlights on., street light"
downloaded_images_W07B/2024-11-13 19:52:48.384521572+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is lined with tall buildings on both sides and there are several cars parked on the side of the road. In the center of the image, there is a white car with a red roof parked in the middle of the street. The car appears to be a luxury model with a sleek design. There are several other cars on the street, including a yellow taxi cab and a red car. The intersection is zebra crossing, which is a type of pedestrian crossing. There is a pedestrian crossing on the right side, and a pedestrian walkway on the left side. The sky is overcast and the overall atmosphere of the scene is busy and bustling. LABELS: The street, several cars, a white car, The car, several other cars, taxi cab, The intersection, a pedestrian crossing, The sky, A white car with a sunroof on a city street., yellow taxi cab, red minivan, traffic jam on busy street with cars and pedestrians, white car, traffic stop with cars on street and people walking on sidewalk, black SUV with license plate on city street, traffic congestion on busy city street, traffic control system on busy road, traffic light, traffic cone, car, wheel, traffic sign, traffic signal light, traffic lights, traffic camera, trail light, traffic meter, traffic lamp"
downloaded_images_W07B/2024-11-08 06:02:40.069525672+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides and there are several cars parked on the left side of the road. In the center of the image, there is a pedestrian crossing with white zebra crossings. A person is walking across the crosswalk and appears to be crossing the street. On the right side, there are a few people walking on the sidewalk. A red ambulance can be seen in the background. The sky is dark and the street is lit up with streetlights. LABELS: several cars, a pedestrian crossing, A person, a few people, A red ambulance, The sky, white car with blue lights on street at night, car, police van with flashing lights on city street at dusk, CCTV footage of white car with black stripes, CCTV image of man walking on street with backpack, street light, night scene with people walking on sidewalk and street lamps, CCTV camera footage of man with backpack and phone, CCTV video of man in black jacket and blue jeans walking on pavement, CCTV photo of man wearing black jacket with blue jeans and white sneakers, CCTV images of man and woman in black jackets and white pants, CCTV surveillance image of white SUV with blue stripes, CCTV security camera footage with blue light, traffic light, walking shoe, traffic sign"
downloaded_images_W07B/2024-11-02 05:26:07.881625955+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides and there are street lamps on the left and right sides of the road. The sky is dark and the street is lit up with streetlights. In the center of the image, there is a zebra crossing with white lines and a red crosswalk. There are several cars parked on the street and a few people walking on the sidewalk. The image appears to be taken from a high angle, looking down on the intersection. LABELS: The street, street lamps, The sky, a zebra crossing, several cars, silver car on street at night, night, white SUV with blue lights on street, police car with flashing lights on road at night, wheel, street light, car"
downloaded_images_W07B/2024-11-10 20:13:07.786407521+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is empty, with no cars or people visible. The pavement is made up of white zebra crossing lines, and there are several cars and buses on the road. On the left side of the image, there is a large crowd of people walking on the sidewalk, and on the right side, there are tall buildings. The sky is blue, and the street is lined with trees and lampposts. In the center of the street, a person is walking on a sidewalk with a pink hat on their head. The image appears to be taken from a high vantage point, looking down on the street. LABELS: The pavement, several cars, buses, a large crowd, tall buildings, The sky, a person, hat, A blue car parked on the side of a street next to a building., Aerial view of bus on busy street with people walking on sidewalk., Aerial footage of a person walking on a sidewalk with a skateboard., A blurry image of a group of people on a street., car, A blurry view of a car on a city street., A blurry photo of a man walking on the sidewalk., wheel"
downloaded_images_W07B/2024-11-02 15:52:23.575500938+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is empty, with no cars or people visible. The pavement is made of concrete and has a zebra crossing in the center. There are several square structures scattered across the street, including a manhole cover and a pedestrian crossing. On the right side of the image, there are tall buildings and a few people walking on the sidewalk. The sky is blue and there are trees and buildings in the background. The image appears to be taken from a high vantage point, looking down on the street. LABELS: several square structures, tall buildings, The sky, A view of a busy street with cars and people on it., A person sitting on a bench with a backpack on their back., A person on a skateboard with a helmet on., A white van parked on the side of a street., A white car with a red stripe on the front of it., A white truck with a blue stripe on it is parked on a street corner., A red car with the number 7 on the back of it is driving on a road., A red van with a white stripe on top of it on a city street., A white pickup truck parked on top., A white SUV with a black stripe on its side., A person is standing on a sidewalk next to a building., A person wearing a black jacket and a white hat., A person standing on the sidewalk with their back to the camera."
downloaded_images_W07B/2024-10-28 00:52:06.157243338+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with buildings on both sides and there are several cars parked on the right side of the road. The buildings are lit up with colorful lights, creating a vibrant atmosphere. In the center of the image, there is a zebra crossing with white lines and a red crosswalk. There are several people walking on the sidewalk, some of them are carrying bags, while others are walking towards the intersection. The sky is dark, indicating that it is nighttime. LABELS: several cars, The buildings, a zebra crossing, several people, bags, others, The sky, police car at night with flashing lights, black car on street at night, police car on city street at dusk, police car, CCTV footage of person walking on street with black bag, CCTV image of man in black hoodie walking on sidewalk, CCTV camera footage of man walking on stairs at night, CCTV images of people walking on escalator at night, CCTV video of man with backpack and camera, CCTV photo of man on escalators at night, CCTV of man wearing black hooded jacket and white shirt, CCTV scan of man's face with black jacket and blue jeans, CCTV view of man and woman walking on busy street at street at Night, CCTV surveillance image of police car at traffic light, CCTV screen of man suspected of murder at night, CCCCTV screenshot of man carrying woman on shoulder at night, CCTV still of woman with long black hair and blue jacket, CCTV security camera footage, CCTVTV footage, CCTV scene of man holding gun at night, traffic light"
downloaded_images_W07B/2024-11-13 03:26:08.256482658+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides and there are several cars parked on the side of the road. The sky is dark and the street is lit up with streetlights. In the center of the image, there is a black car with its lights on, driving on a zebra crossing. The car appears to be a police car, as there are other police cars visible in the background. The image is taken from a high angle, looking down on the street. LABELS: several cars, The sky, a black car, The car, other police cars, police car with flashing lights on street at night, police cars on street with flashing blue lights at night, police cars at night with flashing light, police cars, police cars in parking lot at night, police cars with flashing LED lights at traffic lights at dusk, car, wheel"
downloaded_images_W07B/2024-11-13 00:39:07.863530042+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides, and there are several cars and trucks driving on the road. In the center of the image, there is a blue and white bus with the number 659 on the side. The bus is stopped at a crosswalk and appears to be in motion. There are several people walking on the sidewalk, and a few cars are driving in the background. The sky is dark, indicating that it is nighttime. LABELS: several cars, a blue, bus, number, The bus, several people, few cars, The sky, blue and white bus on city street at night, CCTV footage of black SUV on street at dusk, CCTV image of white car on street with blue lights, CCTV still of blue car on road at night, CCTV scan of white van on street, CCTV camera footage of man walking on street, CCTV images of people walking on sidewalk at night, CCTV video of man in black jacket walking on pavement with cane, CCTV of man with backpack walking on stairs, CCTV photo of man on street in dark room with red light, CCTV view of man wearing black jacket and white shirt, CCTV surveillance image of man's face in black hoodie and black pants, CCTV screenshot of man and woman in black shirt and white pants, CCTV screen of man holding gun in dark alleyway, CCTVTV footage, CCTV security camera footage, CCTV scene of man carrying black bag on street, car"
downloaded_images_W07B/2024-11-01 20:02:22.195443328+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is lined with tall buildings on both sides and there are several cars and buses on the road. The sky is blue and the sun is setting, casting a warm glow over the scene. There are a few people walking on the sidewalk on the right side of the street and a few cars parked on the left side. In the center of the image, there is a zebra crossing with white lines and a yellow bus in the background. The zebra crossings are marked with red and white lines, indicating that the street is crossing the street. The image appears to be taken from a high vantage point, looking down on the street from above. LABELS: several cars, The sky, few people, a zebra crossing, bus, The zebra crossings, traffic jam on busy street with cars and trucks, white car with black roof rack on street, A black car parked on the side of a street., A silver car with a license plate that reads ""GALL TOPOD"" on it., A green car parked in a parking lot next to a white van., green car, street light, car, truck, wheel, person, traffic light, traffic sign, traffic cone, traffic signal, trafficffic light, traffic cones, traffic signals, traffic signs, traffic lights, traffic camera, walking shoe, traffic meter"
downloaded_images_W07B/2024-11-21 09:13:11.615293654+00:00.jpg,"DESCRIPTION: The image shows an empty street at night. The street is lined with buildings on both sides and there are street lamps on the left and right sides of the road. The sky is dark and the street is lit up with streetlights. In the center of the image, there is a zebra crossing with white lines and markings. The zebra crossings are marked with red and white stripes. There are several manhole covers on the ground, indicating that there are no people or vehicles on the street. The image appears to be taken from a high angle, looking down on the intersection. LABELS: The street, street lamps, The sky, a zebra crossing, The zebra crossings, several manhole covers, night view of street with lampposts and traffic lights, street light"
downloaded_images_W07B/2024-11-20 20:53:18.790473363+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street in a city. The street is divided into two sections, with a zebra crossing in the center. The zebra crossings are white and appear to be made of concrete. There are several cars parked on the street, and a few people walking on the sidewalk. On the right side of the image, there are tall buildings and trees. The sky is overcast, and there are a few clouds in the sky. The image appears to be taken from a high vantage point, looking down on the intersection. LABELS: The zebra crossings, several cars, tall buildings, The sky, Aerial view of white car on street with people walking on sidewalk., Aerial View of a busy street with cars and people walking., A black car parked on the side of a street., A black SUV parked on a street next to a building., Aerial shot of a black car on a city street., black car with license plate and license plate, wheel, car, land vehicle"
downloaded_images_W07B/2024-11-01 01:52:31.567962874+00:00.jpg,"DESCRIPTION: The image is an aerial view of a busy street at night. The street is lined with tall buildings on both sides and there are several cars parked on the side of the road. The sky is dark and the street is lit up with streetlights. In the center of the image, there is a white car parked on a zebra crossing. There are several people walking on the sidewalk and a few cars driving on the street. On the right side, there are buildings with colorful lights. The image appears to be taken from a high angle, looking down on the intersection. LABELS: several cars, The sky, a white car, several people, buildings, white SUV with roof rack on street at night, car, blue car, night, street light, wheel"
