Image,Description,Ground Truth,Image Path
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several buildings visible in the distance. The sky is overcast, and the overall mood of the image is peaceful and serene. LABELS: The photo, several buildings, The sky","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees.  The road is empty with no cars or people visible in the primary view. ",downloaded_images_W085/2024-09-12 12:00:32.744875704+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a city at night. The city is lit up with colorful lights, creating a vibrant and lively atmosphere. The sky is dark, and the buildings are visible in the background. In the foreground, there is a grassy area with trees and bushes, and a road with multiple lanes of traffic. The road appears to be empty, with no cars or people visible. The image is taken from a high vantage point, looking down on the city below. LABELS: The sky, a grassy area, The road","The image is of a suburban area at night. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  The road is empty with no cars or people visible in the primary view. ",downloaded_images_W085/2024-09-15 01:39:14.232772180+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a city at night. The city is lit up with colorful lights, creating a beautiful contrast against the dark sky. In the center of the image, there is a large circular structure that appears to be a bridge or a tunnel. The structure is surrounded by trees and greenery, and there are several roads and buildings visible in the background. The image is taken from a high vantage point, looking down on the city below. LABELS: a large circular structure, several roads","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  There are two cars on the road. The road is wet",downloaded_images_W085/2024-09-17 03:39:14.366395253+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a city at night. The city is lit up with colorful lights, creating a vibrant and lively atmosphere. The sky is dark, and the city is surrounded by trees and greenery. In the center of the image, there is a large park with a grassy area and a few trees scattered throughout. On the left side of the park, there are several buildings with multiple levels, and on the right side, there appears to be a parking lot with several cars parked in it. The park is well-maintained and well-manicured, with a few benches and benches for people to sit and enjoy the view. The image is taken from a high vantage point, looking down on the city below. LABELS: The sky, a large park, several buildings, a parking lot, severals cars, The park, a few benches, benches","The image is of a suburban area at night. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  The road has one visible car",downloaded_images_W085/2024-09-17 06:00:35.365374717+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a city at night. The city is lit up with colorful lights, creating a vibrant and lively atmosphere. The sky is dark, and the buildings are visible in the background. In the foreground, there is a grassy area with trees and bushes, and a road with multiple lanes. The road appears to be empty, with no cars or people visible. The image is taken from a high vantage point, looking down on the city below. LABELS: The sky, a grassy area, The road","The image is of a suburban area at night. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  The road is empty with no cars or people visible in the primary view. ",downloaded_images_W085/2024-09-17 06:26:14.511940959+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a city at night. The city is lit up with colorful lights, creating a vibrant and lively atmosphere. The sky is dark, and the city is surrounded by trees and greenery. In the center of the image, there is a large parking lot with several cars parked on the side of the road. The parking lot is empty, with no people visible in the image. The image appears to be taken from a high vantage point, looking down on the city below. LABELS: The sky, a large parking lot, The parking lot","The image is of a suburban area at night. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  The road is empty with no cars or people visible in the primary view. ",downloaded_images_W085/2024-09-17 11:13:14.619007297+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several buildings visible in the background. The sky is blue with some clouds, and the overall landscape is green and well-maintained. In the foreground, there is a curved walkway with a railing on the right side. The overall mood of the image is peaceful and serene. LABELS: The photo, several buildings, The sky, a curved walkway","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees.  The road is empty with no cars or people visible in the primary view. ",downloaded_images_W085/2024-09-17 12:13:14.262014105+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several buildings visible in the background. The sky is blue with some clouds, and the overall landscape is green and well-maintained. In the foreground, there is a curved walkway with a white railing. The walkway appears to be empty, with no cars or people visible. LABELS: The photo, several buildings, The sky, a curved walkway, The walkway","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees.  The road is empty with no cars or people visible in the primary view. The sky is blue",downloaded_images_W085/2024-09-17 19:26:14.324288805+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several buildings visible in the distance. The sky is blue and the sun is shining brightly, casting a warm glow over the scene. In the foreground, there is a curved walkway with a white railing. The overall mood of the image is peaceful and serene. LABELS: The photo, several buildings, The sky, a curved walkway","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees.  The road has a few cars The sky is blue",downloaded_images_W085/2024-09-17 23:52:13.928950197+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several buildings visible in the distance. The sky is clear and blue, and the sun is shining brightly, casting a warm glow over the scene. In the foreground, there is a curved walkway with a white railing. The overall mood of the image is peaceful and serene. LABELS: The photo, several buildings, The sky, a curved walkway","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees.  The road has a few cars The sky is blue",downloaded_images_W085/2024-09-18 00:13:14.332910297+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several cars parked on the side of the road. In the background, there is a large grassy area with a few buildings scattered throughout. The sky is blue with some clouds, and the ocean can be seen in the distance. The image appears to be taken from an observation deck or observation deck. LABELS: The photo, several cars, a large grassy area, The sky","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees. A few cars are driving down the road. ",downloaded_images_W085/2024-09-19 14:20:06.475884485+00:00.jpg
,"DESCRIPTION: The image is a black and white aerial view of a city at night. The city appears to be densely populated with buildings and houses. The sky is dark and the city is lit up with streetlights, creating a contrast between the bright lights and the dark sky. In the foreground, there are trees and bushes, and in the background, there is a hill with a few buildings scattered across it. The image is taken from a high vantage point, looking down on the city below. LABELS: The sky, streetlights, trees, a hill","The image is of a suburban area at night. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  The road is empty with no cars or people visible. ",downloaded_images_W085/2024-10-03 08:40:11.322706098+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on the street below. The street is lined with trees and shrubs, and there are several buildings visible in the background. The sky is blue with some clouds, and the overall color palette of the image is green, yellow, and orange. There are a few cars parked on the side of the road, and a few people can be seen walking on the sidewalk. The image appears to be taken from an observation deck or observation deck. LABELS: The photo, several buildings, The sky, a few cars, few people","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees. A few cars are driving down the road. The sky is blue with some clouds",downloaded_images_W085/2024-10-14 18:02:54.211185683+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a city at night. The city is lit up with colorful lights, creating a vibrant and lively atmosphere. The sky is dark, and the buildings are visible in the background. In the foreground, there is a grassy area with trees and bushes, and a road with multiple lanes. The road appears to be empty, with no cars or people visible. The image is taken from a high vantage point, looking down on the city below. LABELS: The sky, a grassy area, The road","The image is of a suburban area at night. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many lights, buildings, and trees.  The road is empty with no cars or people visible. ",downloaded_images_W085/2024-10-15 08:34:09.219190672+00:00.jpg
,"DESCRIPTION: The image is an aerial view of a residential area. The photo is taken from a high vantage point, looking down on a street with a few cars parked on the side of the road. The street is lined with trees and shrubs, and there are several buildings visible in the background. The sky is blue with some clouds, and the overall landscape is green and well-maintained. The image appears to be taken from an observation deck or observation deck. LABELS: The photo, several buildings, The sky","The image is of a suburban area. In the foreground, there is a grassy area of trees and bushes as well as a road. In the background, there are many buildings, and trees. A few cars are driving down the road. The sky is blue with some clouds",downloaded_images_W085/2024-10-19 20:38:07.083578509+00:00.jpg
